ind,Species,Population,FV3,TTD_Hr,SVL_mm,TTD_Mass_g,Stage ,Nucleic Acid_ng_uL,A260/280,A260/230,Cq1,Cq2,SQ1,SQ2,NH4_ugL,SRP_ugL,Avg Mass Extra Individuals (g) ,Notes
215,Toad,Toad,Y,289,7.36,0.0777,35,127.08,1.87,0.90,25.86,25.96,86521,81239,151.915,1.846,0.036266667,
235,Toad,Toad,Y,289,5.67,0.0347,29,73.82,1.96,1.05,28.03,27.82,21828,24969,73.648,0.752,0.036266667,
250,Toad,Toad,Y,122,4.9,0.0199,25,8.38,1.70,0.22,25.84,25.86,87617,86476,85.41,0.918,0.036266667,
31,Chorus,Chorus,Y,128,6.42,0.0755,33,96.793,1.98,1.21,28.59,29.08,17704,12872,246.7295,34.672,0.035633333,
60,Chorus,Chorus,Y,289,7.61,0.1151,37,138.729,1.913,1.05,28.27,28.10,7451,8336,80.1815,24.5945,0.035633333,
65,Chorus,Chorus,Y,289,7.46,0.099,36,116.872,1.939,1.173,27.49,27.54,12541,12124,155.45,32.247,0.035633333,
89,Chorus,Chorus,Y,289,6.52,0.0667,34,90.647,1.934,1.038,26.67,26.38,21714,26471,26.76,4.244,0.035633333,
150,Chorus,Chorus,Y,289,7.77,0.1344,35,89.883,2.023,1.385,14.16,14.60,94055226,70135056,148.301,16.056,0.035633333,
211,Chorus,Chorus,Y,289,6.39,0.0711,35,82.042,1.99,1.157,26.78,28.10,20262,8344,131.843,24.03,0.035633333,
238,Chorus,Chorus,Y,289,7.33,0.0818,35,95.912,1.943,1.016,29.85,29.62,2592,3016,41.795,4.645,0.035633333,
244,Chorus,Chorus,Y,289,7.35,0.1108,35,99.436,1.954,1.111,26.93,27.45,18324,12872,116.388,16.453,0.035633333,
255,Chorus,Chorus,Y,174,5.83,0.0446,28,9.142,1.917,0.247,25.79,25.63,39110,43607,87.104,6.268,0.035633333,
264,Chorus,Chorus,Y,102,3.93,0.0202,27,20.603,2.111,0.586,18.30,18.64,5888583,4696503,72.671,8.649,0.035633333,
1,Pickerel ,Pickerel,Y,289,13.07,0.3965,31,223.156,1.907,1.331,29.95,30.08,2421,2225,198.924,59.634,0.728033333,
59,Pickerel ,Pickerel,Y,218,15.21,0.6912,33,61.917,1.799,0.632,18.86,18.34,10112440,14186427,309.823,42.258,0.728033333,
64,Pickerel ,Pickerel,Y,192,13.44,0.5121,29,26.802,1.909,0.532,18.21,17.53,6281494,9890464,94.582,22.501,0.728033333,
123,Pickerel ,Pickerel,Y,289,11.13,0.2122,28,185.286,1.929,1.522,28.58,28.69,6080,5618,174.269,20.417,0.728033333,
195,Pickerel ,Pickerel,Y,289,10.94,0.2309,28,228.406,1.95,1.588,29.82,29.41,2647,3485,95.194,20.652,0.728033333,
199,Pickerel ,Pickerel,Y,289,12.76,0.4762,34,363.475,1.997,1.81,29.01,28.83,4550,5119,94.295,24.4255,0.728033333,
202,Pickerel ,Pickerel,Y,289,15.66,0.5641,35,320.876,1.98,1.743,29.50,29.36,3278,3594,127.318,34.716,0.728033333,
218,Pickerel ,Pickerel,Y,289,13.37,0.4565,28,135.954,1.919,0.935,14.34,14.42,83522672,78998377,61.391,17.538,0.728033333,
243,Pickerel ,Pickerel,Y,289,13.61,0.4144,34,386.743,1.908,1.392,27.22,27.81,15111,10174,119.305,33.712,0.728033333,
272,Pickerel ,Pickerel,Y,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.603,114.268,0.728033333,Missing Sample
15,WF,TRL,N,289,0.2716,13.62,38,191.3,1.89,1.1,NA,NA,NA,NA,265.344,41.215,0.3458,no qPCR
22,WF,TRL,N,289,0.4021,14.74,36,148.9,1.85,0.92,NA,NA,NA,NA,224.544,29.02,0.3458,no qPCR
79,WF,TRL,N,289,0.4142,13.73,39,167.3,2.02,1.56,NA,NA,NA,NA,248.059,38.134,0.3458,no qPCR
113,WF,TRL,N,289,0.2511,12.7,35,173.2,1.84,0.96,NA,NA,NA,NA,213.815,49.21,0.3458,no qPCR
263,WF,TRL,N,289,0.3902,15.49,40,147.8,1.99,1.29,NA,NA,NA,NA,254.935,30.934,0.3458,no qPCR
51,WF,STB,N,289,14.9,0.2617,44,86.9,1.84,0.82,34.97,34.36,181.34777,270.16749,220.543,43.961,0.2848,
94,WF,STB,N,289,12.67,0.2581,38,304.1,1.86,0.98,32.91,32.03,692.01117,1226.06497,237.707,44.379,0.2848,
106,WF,STB,N,289,13.89,0.4136,39,492.6,1.92,1.14,37.19,35.28,42.73385,147.75228,208.863,31.275,0.2848,
149,WF,STB,N,289,13.41,0.2235,44,312.1,1.86,1.08,31.83,31.44,1399.02905,1803.94678,285.912,43.359,0.2848,
267,WF,STB,N,289,14.49,0.376,38,255.4,1.85,0.93,35.42,34.48,135.06189,249.81818,213.911,71.832,0.2848,
33,WF,SEW,N,289,12.72,0.2415,36,144.8,1.88,1.19,32.35,33.07,997.23873,622.30532,74.206,17.601,0.279433333,
44,WF,SEW,N,289,13.63,0.2351,40,321.8,1.84,0.91,NA,NA,NA,NA,134.202,28.722,0.279433333,no qPCR
122,WF,SEW,N,289,14.06,0.3801,39,865.4,1.66,0.65,32.01,32.4,1245.61544,963.12750,210.588,39.906,0.279433333,
147,WF,SEW,N,289,14.28,0.3895,37,221.6,1.92,1.21,37.11,,45.09826,1269.19100,151.372,19.153,0.279433333,
166,WF,SEW,N,289,14.31,0.3746,41,178.9,1.81,0.87,34.22,34.17,295.59776,304.21968,254.299,31.334,0.279433333,
114,WF,MIN,N,289,14.4,0.3995,39,375.3,1.89,1.23,31.17,31.27,2147.30509,2014.75420,219.862,24.628,0.330066667,
227,WF,MIN,N,289,14.74,0.4384,39,282.9,1.96,1.46,33.12,34.17,606.09158,305.65414,207.341,8.248,0.330066667,
249,WF,MIN,N,289,14.26,0.3551,39,213.4,1.82,0.88,32.54,32.51,880.48340,,213.224,23.33,0.330066667,
256,WF,MIN,N,289,15.53,0.4881,40,284.3,1.97,1.5,33.58,33.4,448.81724,504.13344,182.226,40.47,0.330066667,
270,WF,MIN,N,289,14.2,0.3154,37,217.9,1.89,1.11,34.42,36.01,258.55099,2014.75420,165.575,27.099,0.330066667,
20,WF,RR,N,289,16.68,0.4426,40,865,1.68,0.73,34.61,34.31,229.48279,279.20068,184.942,25.423,0.246933333,
43,WF,RR,N,289,15.15,0.4225,39,342.9,1.94,1.42,32.01,31.98,1199.55450,899.51025,248.994,44.106,0.246933333,
112,WF,RR,N,289,14.38,0.4126,40,253.2,1.83,0.93,33.29,32.01,539.13308,472.03646,213.214,40.722,0.246933333,
132,WF,RR,N,289,15.76,0.4768,40,283.4,1.92,1.24,24.75,24.87,139826.63271,129905.65534,277.7025,60.572,0.246933333,
170,WF,RR,N,289,13.26,0.3586,40,221.4,1.86,1,24.05,24.27,221481.39071,191392.26523,255.386,33.864,0.246933333,
38,WF,SQR,N,289,15.49,0.3902,,190.7,1.86,1,34.81,33.26,201.27703,551.82041,129.212,20.317,0.335366667,
119,WF,SQR,N,289,12.18,0.2502,34,118.3,1.89,0.97,34.84,36.92,50.90800,194.91776,182.288,24.603,0.335366667,
127,WF,SQR,N,289,13.45,0.3532,38,281.3,1.86,0.94,37.35,36.17,38.49937,82.79662,210.702,25.678,0.335366667,
164,WF,SQR,N,289,15.71,0.4305,38,289.6,1.86,1.05,35.03,36.17,292.26721,174.45154,161.069,58.629,0.335366667,
260,WF,SQR,N,289,13.26,0.2781,41,233.3,1.81,0.86,36.76,35.52,56.46498,126.36822,276.727,75.177,0.335366667,
